,,国家机关、党群组织、企业、事业单位负责人,专业技术人员,办事人员和有关人员,商业、服务业人员,农、林、牧、渔、水利业生产人员,生产、运输设备操作人员及有关人员,国家机关、党群组织、企业、事业单位负责人,专业技术人员,办事人员和有关人员,商业、服务业人员,农、林、牧、渔、水利业生产人员,生产、运输设备操作人员及有关人员,国家机关、党群组织、企业、事业单位负责人,专业技术人员,办事人员和有关人员,商业、服务业人员,农、林、牧、渔、水利业生产人员,生产、运输设备操作人员及有关人员
,,,,,,,,,,,,,,7484,62226,23843,176700,489350,242396
,,,,,,,,,,,,,,20858,182735,51951,390731,1593433,393367
,,,,,,,,,,,,,,10859,127445,46122,264562,1709086,181524
,,,,,,,,,,,,,,10745,95572,34164,259724,807127,173492
,,,,,,,,,,,,,,11825,89511,33851,275669,892586,191955
,,,,,,,,,,,,,,39956,207152,141145,557825,656408,825082
,,,,,,,,,,,,,,5891,63355,20944,160593,796642,93999
,,,,,,,,,,,,,,1249,12423,4975,41666,118181,11706
,,,,,,,,,,,,,,7918,44801,19197,140625,351320,65697
,,,,,,,,,,,,,,14922,112198,46840,370011,1427781,213319
,,,,,,,,,,,,,,4295,38964,16339,92045,568930,45059
,,,,,,,,,,,,,,5427,64088,21133,159692,911070,73032
,,,,,,,,,,,,,,443,3267,2127,7252,53051,2080
,,,,,,,,,,,,,,6775,67094,24325,180069,532952,69370
,,,,,,,,,,,,,,3473,36340,13440,71724,502502,28212
,,,,,,,,,,,,,,1212,10684,4019,20295,83374,8735
,,,,,,,,,,,,,,1295,12927,4932,28595,84285,11610
,,,,,,,,,,,,,,5158,52863,16985,73327,317745,30776
